Song Title,Performer(s),Places Mentioned in Text,Place Performed/Recorded,Place Published,Date Recorded/ Composed,Collector(s),Source,Source Publication Date,File Name/Location,English Translation,Comments
La chinaca,"Longoria, Manuela",,"Brownsville, Texas",,"April 29,1939","Lomax, John A. (John Avery),
Lomax, Ruby T. (Ruby Terrill) ",The Library of Congress Celebrates the Songs of America / John and Ruby Lomax 1939 Southern States Recording Trip,,https://www.loc.gov/item/lomaxbib000641/,,"Venue: Home of Manuela Longoria; Collector's genre note: ""Confederate song"""
La culebra,"Longoria, Manuela",,"Brownsville, Texas",,"April 29,1939","Lomax, John A. (John Avery),
Lomax, Ruby T. (Ruby Terrill) ",The Library of Congress Celebrates the Songs of America / John and Ruby Lomax 1939 Southern States Recording Trip,,https://www.loc.gov/item/lomaxbib000642/,,Venue: Home of Manuela Longoria
La culebra,"Longoria, Manuela",,"Brownsville, Texas",,"April 29,1939","Lomax, John A. (John Avery),
Lomax, Ruby T. (Ruby Terrill) ",The Library of Congress Celebrates the Songs of America / John and Ruby Lomax 1939 Southern States Recording Trip,,https://www.loc.gov/item/lomaxbib000643/,,"Venue: Home of Manuela Longoria; collector's genre note: ""narrative song"""
Venimos de Matamoros,"Suarez, José",,"Brownsville, Texas",,"April 26, 1939","Lomax, John A. (John Avery),
Lomax, Ruby T. (Ruby Terrill) ",The Library of Congress Celebrates the Songs of America / John and Ruby Lomax 1939 Southern States Recording Trip,,https://www.loc.gov/item/lomaxbib000074/,,"-  Venue: Home of J.K. Wells
-  Corrido about the Mexican revolution and revolutionary Aniceto Pizaña
-  Americo Paredes wrote about this ballad in Folklore and Culture on the Texas-Mexican Border (1995)."
El Corrido de José Mosqueda,"Suarez, José",,"Brownsville, Texas",,"April 26, 1939","Lomax, John A. (John Avery),
Lomax, Ruby T. (Ruby Terrill) ",The Library of Congress Celebrates the Songs of America / John and Ruby Lomax 1939 Southern States Recording Trip,,https://www.loc.gov/item/lomaxbib000075/,,"-  Venue: Home of J.K. Wells
-  Americo Paredes wrote about this ballad in Folklore and Culture on the Texas-Mexican Border (1995).
-  Song was initally incorrectly identified as La batalla del ojo de agua"
Corrido del soldado,"Suarez, José",,"Brownsville, Texas",,"April 26, 1939","Lomax, John A. (John Avery),
Lomax, Ruby T. (Ruby Terrill) ",The Library of Congress Celebrates the Songs of America / John and Ruby Lomax 1939 Southern States Recording Trip,,https://www.loc.gov/item/lomaxbib000674/,,- Venue: Home of J.K. Wells
Corrido de las elecciones de Brownsville,"Suarez, José; Wells, Joe K.","Brownsville, Texas","Brownsville, Texas",,"April 26, 1939","Lomax, John A. (John Avery),
Lomax, Ruby T. (Ruby Terrill) ",The Library of Congress Celebrates the Songs of America / John and Ruby Lomax 1939 Southern States Recording Trip,,https://www.loc.gov/item/lomaxbib000675/,,- Venue: Home of J.K. Wells
Corrido villésta de la toma de Matamoros,"Suarez, José",,"Brownsville, Texas",,"April 26, 1939","Lomax, John A. (John Avery),
Lomax, Ruby T. (Ruby Terrill) ",The Library of Congress Celebrates the Songs of America / John and Ruby Lomax 1939 Southern States Recording Trip,,https://www.loc.gov/item/lomaxbib000616/,,- Venue: Home of J.K. Wells
Corrido de Leandro Rivera,"Hernandez, Atanviro",,"""near"" Brownsville, Texas",,"April 27,1939","Lomax, John A. (John Avery),
Lomax, Ruby T. (Ruby Terrill) ",The Library of Congress Celebrates the Songs of America / John and Ruby Lomax 1939 Southern States Recording Trip,,https://www.loc.gov/item/lomaxbib000080/,,"-  Venue: Blalock School
-  Collector's genre note: ""tragic narrative""
-  Performer referred to elsewhere as Atanacio Hernandez"
Camino de San Antonio,"Arajo, Jose",,"""near"" Brownsville, Texas",,"April 27,1939","Lomax, John A. (John Avery),
Lomax, Ruby T. (Ruby Terrill) ",The Library of Congress Celebrates the Songs of America / John and Ruby Lomax 1939 Southern States Recording Trip,,https://www.loc.gov/item/lomaxbib000621/,,- Venue: Blalock School; - Student at Blalock School
El toro moro (Part 2 of 2),"Goodwyn, Frank",,"Falfurrias, Texas",,"April 28,1939","Lomax, John A. (John Avery),
Lomax, Ruby T. (Ruby Terrill) ",The Library of Congress Celebrates the Songs of America / John and Ruby Lomax 1939 Southern States Recording Trip,,https://www.loc.gov/item/lomaxbib000085/,,"- Collector's genre note: ""vaqueri ballad""; - Venue: Galeanaz Tourist Camp"
El toro moro,"Goodwyn, Frank",,"Falfurrias, Texas",,"April 28,1939","Lomax, John A. (John Avery),
Lomax, Ruby T. (Ruby Terrill) ",The Library of Congress Celebrates the Songs of America / John and Ruby Lomax 1939 Southern States Recording Trip,,https://www.loc.gov/item/lomaxbib000629/,,- Venue: Galeanaz Tourist Camp; recording begins with an explanation of the vaqueri context in English
Contrabando de El Paso,"Rael, Ventura","El Paso, Texas",,"Albuquerque, New Mexico",,"Loeffler, Jack",La Música de los Viejitos: Hispano Folk Music of the Río Grande del Norte,1999,https://docs.google.com/document/d/150KFatkDGVJZnRhE_YESu1VY2h5dZKcgVX3alC3gcmQ/edit,https://docs.google.com/document/d/15PaSEET4y4QZvHDDW18GAtH32ja3L_8Ay8LrMixlRYo/edit,
El corrido de San Marcial,"Rosas, Manuel; Gbaldón, Roger","San Marcial, New Mexico; Rio Grande; El Paso",,"Albuquerque, New Mexico",,"Loeffler, Jack",La Música de los Viejitos: Hispano Folk Music of the Río Grande del Norte,1999,https://docs.google.com/document/d/1EeqXl32_mrQPXX-iVtZypIeBLs6PXJG7z7GqOTdpUvs/edit,https://docs.google.com/document/d/1h-8-svsNqAh2U0RyHpgajWGSuiHYLeEdg2tliTxONtQ/edit,Text identifies speaker as Ramón Luna
El hijo desobediente,"Aguilar, Floyd",,Rio Grande,"Albuquerque, New Mexico",,"Loeffler, Jack",La Música de los Viejitos: Hispano Folk Music of the Río Grande del Norte,1999,https://docs.google.com/document/d/1fkzDU0NUCeN_-ZX7hsa2jM1uZbZ65x13JaPdFwqtDfc/edit,https://docs.google.com/document/d/1wDICmU-qzDfXY5uAZbBK6G5i6AXYwT02AgACyzQ22Kw/edit,
"El Potro ""Lobo Gatiado""","Guilez, Rumaldo and Chon",,"Tlatlaya, Mexico","Albuquerque, New Mexico",,"Loeffler, Jack",La Música de los Viejitos: Hispano Folk Music of the Río Grande del Norte,1999,https://docs.google.com/document/d/1iw-_UuJGxPuDfK5l1NlAS4RzZGHd3qzma4UpNBS08bg/edit,https://docs.google.com/document/d/1M--fWPfNAKVV9PSWDVb-V-9s2Js5_XNcJKUuDEUQPEY/edit,
El corrido del fusilamiento de Felipe Ángeles,"Floréz, Johnny; García, Raúl","Chihuahua, Mexico; Sierra la Mora",,"Albuquerque, New Mexico",,"Loeffler, Jack",La Música de los Viejitos: Hispano Folk Music of the Río Grande del Norte,1999,https://docs.google.com/document/d/1npPYJbKdNDAPhrfndk8UDyYRNhIVo_rYkXW94wHDhZk/edit,https://docs.google.com/document/d/1v_tEUnHpf0z5YEM6s-8mCBXVGod0MTtmJ7qvP6d6bfc/edit,
Las mañanitas de Benjamín Argumedo,"Tórrez, Librado","Durango, Mexico; San Miguel, Mexico; Sombrerete, Mexico",,"Albuquerque, New Mexico",,"Loeffler, Jack",La Música de los Viejitos: Hispano Folk Music of the Río Grande del Norte,1999,https://docs.google.com/document/d/1DXn6-_iUmBWu1o5qjbeEHgwhOmyfcmt1TAWa-LCUX84/edit,https://docs.google.com/document/d/1cQtnhcOSH3kXs4w_2vnJRyAKwzHKH4uVLiQOz_fXAZA/edit,
El corrido de Río Arriba,"Martínez, Roberto","Tierra Amarilla, New Mexico; Rio Arriba, New Mexico",,"Albuquerque, New Mexico",,"Loeffler, Jack",La Música de los Viejitos: Hispano Folk Music of the Río Grande del Norte,1999,https://docs.google.com/document/d/1eFF967iknCXtvYNJgLKJmB1siwXeuBHxArUvK4QC49g/edit,https://docs.google.com/document/d/1CbwT14k8DFZMn20ZbkqLVspeVoJU8fMrKkJ-e_4Gby8/edit,
El toro morro (Part 1 of 2),"Goodwyn, Frank",,"Falfurrias, Texas",,"April 28, 1939","Lomax, John A. (John Avery),
Lomax, Ruby T. (Ruby Terrill) ",The Library of Congress Celebrates the Songs of America / John and Ruby Lomax 1939 Southern States Recording Trip,,https://www.loc.gov/item/lomaxbib000630/,,"Venue: Galeanaz Tourist Camp
-  Performance Note: ""El toro moro (Part 1 of 2)"" (vocals and guitar) performed at Galeanaz Tourist Camp, Falfurrias, Texas, on April 28, 1939."
Corrido de los rangers,"Krausse, Henry, Mrs.",,"Brownsville, Texas",,"April 28, 1939","Lomax, John A. (John Avery),
Lomax, Ruby T. (Ruby Terrill) ",The Library of Congress Celebrates the Songs of America / John and Ruby Lomax 1939 Southern States Recording Trip,,https://www.loc.gov/item/lomaxbib000093/,,"This corrido has a back and forth on context in English. Performance Note: ""Corrido de los rangers"" performed by Mrs. Henry Krausse (vocals) at her home, Brownsville, Texas, on April 28, 1939."
Versos del mojado,"Salinas, Manuel
López, Homero",,"Sarita, Texas",,"April 28, 1939","Lomax, John A. (John Avery),
Lomax, Ruby T. (Ruby Terrill) ",The Library of Congress Celebrates the Songs of America / John and Ruby Lomax 1939 Southern States Recording Trip,,https://www.loc.gov/item/lomaxbib000096/,,"-  Venue: López's Cash Store
-  Collector's genre note: ""Mexican border ballad""
-  Location also known as Kennedy Ranch"
Los veusas de Don Bonifacio e Don Coy,"Goodwyn, Frank",,"Falfurrias, Texas",,"April 29, 1939","Lomax, John A. (John Avery),
Lomax, Ruby T. (Ruby Terrill) ",The Library of Congress Celebrates the Songs of America / John and Ruby Lomax 1939 Southern States Recording Trip,,https://www.loc.gov/item/lomaxbib000134/,,"-  Venue: Galeanaz Tourist Camp
-  Collector's genre note: ""Mexican feud ballad"""
El Corrido de Kiansis,"Goodwyn, Frank",,"Falfurrias, Texas",,"April 29, 1939","Lomax, John A. (John Avery),
Lomax, Ruby T. (Ruby Terrill) ",The Library of Congress Celebrates the Songs of America / John and Ruby Lomax 1939 Southern States Recording Trip,,https://www.loc.gov/item/lomaxbib000135/,,"-  Venue: Galeanaz Tourist Camp
-  Collector's genre note: ""trail songs (Mexican)"""
Bandolero,"Acuna, Valdemar
Hernandez, Leonaldo",,"Kingsville, Texas",,"May 1, 1939","Lomax, John A. (John Avery),
Lomax, Ruby T. (Ruby Terrill) ",The Library of Congress Celebrates the Songs of America / John and Ruby Lomax 1939 Southern States Recording Trip,,https://www.loc.gov/item/lomaxbib000654/,,"-  Location also known as now Texas A&M University-Kingsville
-  Venue: Under grandstand of college stadium, A.& I. College
-  Performance Note: ""Bandolero"" performed under grandstand of college stadium, A.& I. College, Kingsville, Texas, on May 1, 1939."
Corrido del soldado,"Suarez, José",,"Brownsville, Texas",,"April 26, 1939","Lomax, John A. (John Avery),
Lomax, Ruby T. (Ruby Terrill) ",The Library of Congress Celebrates the Songs of America / John and Ruby Lomax 1939 Southern States Recording Trip,,https://www.loc.gov/item/lomaxbib000215/,,- Venue: Home of J.K. Wells
Corrido del soldado,"Suarez, José",,"Brownsville, Texas",,"April 26, 1939","Lomax, John A. (John Avery),
Lomax, Ruby T. (Ruby Terrill) ",The Library of Congress Celebrates the Songs of America / John and Ruby Lomax 1939 Southern States Recording Trip,,https://www.loc.gov/item/lomaxbib000216/,,- Venue: Home of J.K. Wells
La risa,"Suarez, José",,"Brownsville, Texas",,"April 26, 1939","Lomax, John A. (John Avery),
Lomax, Ruby T. (Ruby Terrill) ",The Library of Congress Celebrates the Songs of America / John and Ruby Lomax 1939 Southern States Recording Trip,,https://www.loc.gov/item/lomaxbib000549/,,- Venue: Home of J.K. Wells
Corrido del soldado,"Suarez, José",,"Brownsville, Texas",,"April 26, 1939","Lomax, John A. (John Avery),
Lomax, Ruby T. (Ruby Terrill) ",The Library of Congress Celebrates the Songs of America / John and Ruby Lomax 1939 Southern States Recording Trip,,https://www.loc.gov/item/lomaxbib000649/,,- Venue: Home of J.K. Wells
El borracho celebra la Semana Santa,"Suarez, José",,"Brownsville, Texas",,"April 26, 1939","Lomax, John A. (John Avery),
Lomax, Ruby T. (Ruby Terrill) ",The Library of Congress Celebrates the Songs of America / John and Ruby Lomax 1939 Southern States Recording Trip,,https://www.loc.gov/item/lomaxbib000550/,,- Venue: Home of J.K. Wells
Corrido del Gral. Diaz,,Mexico,,"Los Angeles, California",,,https://chroniclingamerica.loc.gov/lccn/sn81004351/1936-10-25/ed-1/seq-34/ocr/,"October 25, 1936",https://docs.google.com/document/d/1Xqow0C7heg2Ob6OEliYa0JF6evmc2MJ9KPXM1qpeRUA/edit,,Published in La Opinión
